,FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,TP,CL,CF,SF,FA
5425,8025589,1NGR,A:334-418,P07174,334-418,8037968,1NGR,A:334-418,P07174,334-418,1,1000000,2000050,3000069,4000378
5426,8025591,1DDF,A:202-319,P25445,218-335,8037970,1DDF,A:202-319,P25445,218-335,1,1000000,2000050,3000069,4000378
5427,8025599,1FAD,A:89-183,Q61160,89-183,8037978,1FAD,A:89-183,Q61160,89-183,1,1000000,2000050,3000069,4000378
5428,8025600,1CY5,A:1-93,O14727,1-93,8037979,1CY5,A:1-93,O14727,1-93,1,1000000,2000050,3000069,4000308
5429,8025601,3CRD,A:1-100,P78560,1-100,8037980,3CRD,A:1-100,P78560,1-100,1,1000000,2000050,3000069,4000308
5430,8025610,3YGS,P:2-96,P55211,1-95,8037989,3YGS,P:2-96,P55211,1-95,1,1000000,2000050,3000069,4000308
5431,8025612,1DGN,A:2-90,P57730,2-90,8037991,1DGN,A:2-90,P57730,2-90,1,1000000,2000050,3000069,4000308
5432,8025614,1D2Z,A:28-129,Q05652,28-129,8037993,1D2Z,A:28-129,Q05652,28-129,1,1000000,2000050,3000069,4000378
5433,8025617,1D2Z,B:23-172,P22812,23-172,8037996,1D2Z,B:23-172,P22812,23-172,1,1000000,2000050,3000069,4000378
5434,8026638,1PN5,A:59-151,Q9C000,1-93,8039017,1PN5,A:59-151,Q9C000,1-93,1,1000000,2000050,3000069,4000693
5435,8027180,1ICH,A:327-413,P19438,356-442,8039559,1ICH,A:327-413,P19438,356-442,1,1000000,2000050,3000069,4000378
5436,8029334,1UCP,A:1-91,Q9ULZ3,1-91,8041713,1UCP,A:1-91,Q9ULZ3,1-91,1,1000000,2000050,3000069,4000693
5437,8029452,2GF5,A:89-191,Q13158,89-191,8041831,2GF5,A:89-191,Q13158,89-191,1,1000000,2000050,3000069,4000378
5438,8029454,2GF5,A:2-83,Q13158,2-83,8041833,2GF5,A:2-83,Q13158,2-83,1,1000000,2000050,3000069,4001934
5439,8031162,1WH4,A:8-121,Q8R4K2,1-114,8043540,1WH4,A:8-121,Q8R4K2,1-114,1,1000000,2000050,3000069,4000378
5440,8031262,1WMG,A:854-943,Q8K1S3,854-943,8043640,1WMG,A:854-943,Q8K1S3,854-943,1,1000000,2000050,3000069,4000378
5441,8031668,1N3K,A:1-130,Q9Z297,1-130,8044046,1N3K,A:1-130,Q9Z297,1-130,1,1000000,2000050,3000069,4001934
5442,8073229,2N80,A:334-427,P08138,334-427,8073230,2N80,A:334-427,P08138,334-427,1,1000000,2000050,3000069,4000378
5443,8073231,2IB1,A:138-220,Q8CJ26,138-220,8073232,2IB1,A:138-220,Q8CJ26,138-220,1,1000000,2000050,3000069,4000378
5444,8073233,4O6X,A:2-101,Q12955,4088-4187,8073234,4O6X,A:2-101,Q12955,4088-4187,1,1000000,2000050,3000069,4000378
5445,8077788,2OF5,H:778-876,Q9HB75,778-876,8077789,2OF5,H:778-876,Q9HB75,778-876,1,1000000,2000050,3000069,4000378
5446,8079211,3OQ9,A:223-308,P25446,223-308,8079212,3OQ9,A:223-308,P25446,223-308,1,1000000,2000050,3000069,4000378
5447,8082301,5FNA,A:1-85,P29466,2-86,8082302,5FNA,A:1-85,P29466,2-86,1,1000000,2000050,3000069,4000308
5448,8082303,6MKS,F:1-90,Q9NPP4,1-90,8082304,6MKS,F:1-90,Q9NPP4,1-90,1,1000000,2000050,3000069,4000308
5449,8083259,2MB9,A:10-115,O95999,10-115,8083260,2MB9,A:10-115,O95999,10-115,1,1000000,2000050,3000069,4000308
5450,8084420,3MOP,K:2-94,O43187,2-94,8084421,3MOP,K:2-94,O43187,2-94,1,1000000,2000050,3000069,4000378
5451,8084422,3MOP,A:20-117,Q99836,20-117,8084423,3MOP,A:20-117,Q99836,20-117,1,1000000,2000050,3000069,4000378
5452,8087281,2D96,A:8-91,Q00653,766-849,8087282,2D96,A:8-91,Q00653,766-849,1,1000000,2000050,3000069,4000378
5453,8087283,2DBF,A:7-94,P19838,806-893,8087284,2DBF,A:7-94,P19838,806-893,1,1000000,2000050,3000069,4000378
5454,8087387,3MOP,G:4-106,Q9NWZ3,4-106,8087388,3MOP,G:4-106,Q9NWZ3,4-106,1,1000000,2000050,3000069,4000378
5455,8088519,5H7N,B:374-461,P59046,9-96,8088520,5H7N,B:374-461,P59046,9-96,1,1000000,2000050,3000069,4000693
5456,8088521,4EWI,A:5-95,Q96MN2,5-95,8088522,4EWI,A:5-95,Q96MN2,5-95,1,1000000,2000050,3000069,4000693
5457,8088523,4N1J,C:8-96,Q86W24,8-96,8088524,4N1J,C:8-96,Q86W24,8-96,1,1000000,2000050,3000069,4000693
5458,8088525,3QF2,A:5-94,Q96P20,5-94,8088526,3QF2,A:5-94,Q96P20,5-94,1,1000000,2000050,3000069,4000693
5459,8089243,2N1F,A:2-90,Q9EPB4,2-90,8089244,2N1F,A:2-90,Q9EPB4,2-90,1,1000000,2000050,3000069,4000693
5460,8089245,2HM2,Q:1-89,Q8WXC3,1-89,8089246,2HM2,Q:1-89,Q8WXC3,1-89,1,1000000,2000050,3000069,4000693
5461,8089247,2MPC,A:4-92,O15553,4-92,8089248,2MPC,A:4-92,O15553,4-92,1,1000000,2000050,3000069,4000693
5462,8089249,2M5V,A:3-102,Q86W26,1-100,8089250,2M5V,A:3-102,Q86W26,1-100,1,1000000,2000050,3000069,4000693
5463,8089251,2KM6,A:3-98,Q8WX94,1-96,8089252,2KM6,A:3-98,Q8WX94,1-96,1,1000000,2000050,3000069,4000693
5464,8089253,6NCV,A:14-104,P59044,14-104,8089254,6NCV,A:14-104,P59044,14-104,1,1000000,2000050,3000069,4000693
5465,8089255,5GPP,A:375-460,Q9I9N6,3-88,8089256,5GPP,A:375-460,Q9I9N6,3-88,1,1000000,2000050,3000069,4000693
5466,8089623,4IZ5,E:1-86,Q15121,1-86,8089624,4IZ5,E:1-86,Q15121,1-86,1,1000000,2000050,3000069,4001934
5467,8089625,2LS7,A:1-90,Q62048,1-90,8089626,2LS7,A:1-90,Q62048,1-90,1,1000000,2000050,3000069,4001934
5468,8046075,4P4H,J:1-97,Q7Z434,1-97,8092816,4P4H,J:1-97,Q7Z434,1-97,1,1000000,2000050,3000069,4000308
5469,8046076,4P4H,E:1-93,O95786,1-93,8092818,4P4H,E:1-93,O95786,1-93,1,1000000,2000050,3000069,4000308
5470,8092817,4P4H,E:94-188,O95786,94-188,8092819,4P4H,E:94-188,O95786,94-188,1,1000000,2000050,3000069,4000308
5471,8046078,4O9L,A:1-94,4O9L_A,1-94,8092820,4O9L,A:1-94,4O9L_A,1-94,1,1000000,2000050,3000069,4000308
5472,8068364,6BZH,C:2-93,Q6Q899,2-93,8092822,6BZH,C:2-93,Q6Q899,2-93,1,1000000,2000050,3000069,4000308
5473,8092821,6BZH,C:94-189,Q6Q899,94-189,8092823,6BZH,C:94-189,Q6Q899,94-189,1,1000000,2000050,3000069,4000308
5474,8046077,4A2Q,D:2-92,D3TI84,2-92,8092825,4A2Q,D:2-92,D3TI84,2-92,1,1000000,2000050,3000069,4000308
5475,8092824,4A2Q,D:93-186,D3TI84,93-186,8092826,4A2Q,D:93-186,D3TI84,93-186,1,1000000,2000050,3000069,4000308
5476,8021884,1OR7,C:1-66,P0AFX7,1-66,8034264,1OR7,C:1-66,P0AFX7,1-66,1,1000000,2000881,3001438,4003757
5477,8003765,2UWE,I:1-99,P61769,21-119,8003766,2UWE,I:1-99,P61769,21-119,1,1000001,2000051,3000071,4000202
5478,8044838,2GY5,A:23-445,Q02763,23-445,8053440,2GY5,A:23-119,Q02763,23-119,1,1000001,2000051,3000071,4004168
5479,8044838,2GY5,A:23-445,Q02763,23-445,8053441,2GY5,A:123-209,Q02763,123-209,1,1000001,2000051,3000071,4004168
5480,8044838,2GY5,A:23-445,Q02763,23-445,8053442,2GY5,A:348-445,Q02763,348-445,1,1000001,2000051,3000071,4004168
5481,8054424,1AC6,A:1-92,Q5R1F5,21-112,8054425,1AC6,A:1-92,Q5R1F5,21-112,1,1000001,2000051,3000071,4007530
5482,8054426,1U3H,A:2-93,Q5R1B3,30-120,8054427,1U3H,A:2-93,Q5R1B3,30-120,1,1000001,2000051,3000071,4007530
5483,8054430,1FO0,A:2-93,Q5R1F1,24-116,8054431,1FO0,A:2-93,Q5R1F1,24-116,1,1000001,2000051,3000071,4007530
5484,8054432,1D9K,A:2-117,1D9K_A,1-110,8054433,1D9K,A:2-117,1D9K_A,1-110,1,1000001,2000051,3000071,4007530
5485,8054434,1BWM,A:301-393,Q5R1G1,29-121,8054435,1BWM,A:301-393,Q5R1G1,29-121,1,1000001,2000051,3000071,4007530
5486,8054436,1OGA,D:3-117,1OGA_D,1-116,8054437,1OGA,D:3-117,1OGA_D,1-116,1,1000001,2000051,3000071,4007530
5487,8054440,2Q86,B:3-111,2Q86_B,1-109,8054441,2Q86,B:3-111,2Q86_B,1-109,1,1000001,2000051,3000071,4007530
5488,8054442,1SBB,A:3-117,1SBB_A,1-112,8054443,1SBB,A:3-117,1SBB_A,1-112,1,1000001,2000051,3000071,4007530
5489,8054444,2ICW,J:1-110,A2NTY6,30-139,8054445,2ICW,J:1-110,A2NTY6,30-139,1,1000001,2000051,3000071,4007530
5490,8054446,2GJ6,D:1-114,2GJ6_D,1-113,8054447,2GJ6,D:1-114,2GJ6_D,1-113,1,1000001,2000051,3000071,4007530
5491,8054448,1KJ2,B:1-116A,P04214,22-136,8054449,1KJ2,B:1-116A,P04214,22-136,1,1000001,2000051,3000071,4007530
5492,8054450,1OGA,E:5-118,1OGA_E,1-115,8054451,1OGA,E:5-118,1OGA_E,1-115,1,1000001,2000051,3000071,4007530
5493,8054452,2IJ0,C:1-94,A0A5B4,15-108,8054453,2IJ0,C:1-94,A0A5B4,15-108,1,1000001,2000051,3000071,4007530
5494,8054454,2RCJ,A:1-116,2RCJ_A,1-116,8054455,2RCJ,A:1-116,2RCJ_A,1-116,1,1000001,2000051,3000071,4007744
5495,8054456,1HXM,A:1-120,1HXM_A,1-120,8054457,1HXM,A:1-120,1HXM_A,1-120,1,1000001,2000051,3000071,4007530
5496,8054458,1YPZ,F:1-120,1YPZ_F,1-120,8054459,1YPZ,F:1-120,1YPZ_F,1-120,1,1000001,2000051,3000071,4007530
5497,8054460,1TVD,A:1-90,A0JD37,19-113,8054461,1TVD,A:1-90,A0JD37,19-113,1,1000001,2000051,3000071,4007530
5498,8054462,1HXM,B:1-123,1HXM_B,1-123,8054463,1HXM,B:1-123,1HXM_B,1-123,1,1000001,2000051,3000071,4007530
5499,8054464,1I8L,C:3-120,P16410,38-155,8054465,1I8L,C:3-120,P16410,38-155,1,1000001,2000051,3000071,4007530
5500,8054466,1DQT,A:1-117,P09793,38-154,8054467,1DQT,A:1-117,P09793,38-154,1,1000001,2000051,3000071,4007530
5501,8054468,1NEU,A:1-119,P06907,30-148,8054469,1NEU,A:1-119,P06907,30-148,1,1000001,2000051,3000071,4007530
5502,8054470,1PKO,A:1-125,Q63345,28-152,8054471,1PKO,A:1-125,Q63345,28-152,1,1000001,2000051,3000071,4007530
5503,8054472,1PY9,A:2-117,Q61885,30-145,8054473,1PY9,A:2-117,Q61885,30-145,1,1000001,2000051,3000071,4007530
5504,8054474,1EAJ,A:16-139,P78310,16-139,8054475,1EAJ,A:16-139,P78310,16-139,1,1000001,2000051,3000071,4007530
5505,8054476,1QFO,A:1-118,Q62230,20-137,8054477,1QFO,A:1-118,Q62230,20-137,1,1000001,2000051,3000071,4007530
5506,8054478,2G5R,A:24-144,Q9Y286,24-144,8054479,2G5R,A:24-144,Q9Y286,24-144,1,1000001,2000051,3000071,4007530
5507,8054480,1HKF,A:5-112,O95944,23-130,8054481,1HKF,A:5-112,O95944,23-130,1,1000001,2000051,3000071,4007530
5508,8054482,1SMO,A:21-133,Q9NP99,21-133,8054483,1SMO,A:21-133,Q9NP99,21-133,1,1000001,2000051,3000071,4007530
5509,8054484,1U9K,A:25-134,Q9JKE2,25-134,8054485,1U9K,A:25-134,Q9JKE2,25-134,1,1000001,2000051,3000071,4007530
5510,8054486,1AKJ,D:1-114,P01732,22-135,8054487,1AKJ,D:1-114,P01732,22-135,1,1000001,2000051,3000071,4007530
5511,8054488,1NEZ,G:4-122,P01731,31-149,8054489,1NEZ,G:4-122,P01731,31-149,1,1000001,2000051,3000071,4007530
5512,8054490,2ATP,B:1-115,P10300,22-136,8054491,2ATP,B:1-115,P10300,22-136,1,1000001,2000051,3000071,4007530
5513,8054492,2NXY,B:1001-1097,P01730,26-122,8054493,2NXY,B:1001-1097,P01730,26-122,1,1000001,2000051,3000071,4007530
5514,8054494,1CID,A:1-105,P05540,210-314,8054495,1CID,A:1-105,P05540,210-314,1,1000001,2000051,3000071,4007530
5515,8054496,1HNF,A:4-104,P06729,28-128,8054497,1HNF,A:4-104,P06729,28-128,1,1000001,2000051,3000071,4007530
5516,8054498,1HNG,A:2-99,P08921,24-121,8054499,1HNG,A:2-99,P08921,24-121,1,1000001,2000051,3000071,4007530
5517,8054500,1CCZ,A:1-93,P19256,29-121,8054501,1CCZ,A:1-93,P19256,29-121,1,1000001,2000051,3000071,4007530
5518,8054502,1DR9,A:1-105,P33681,35-139,8054503,1DR9,A:1-105,P33681,35-139,1,1000001,2000051,3000071,4007530
5519,8054504,1NCN,A:1-109,P42081,26-134,8054505,1NCN,A:1-109,P42081,26-134,1,1000001,2000051,3000071,4007530
5520,8054506,1F97,A:27-128,O88792,27-128,8054507,1F97,A:27-128,O88792,27-128,1,1000001,2000051,3000071,4007530
5521,8054508,1NBQ,A:27-129,Q9Y624,27-129,8054509,1NBQ,A:27-129,Q9Y624,27-129,1,1000001,2000051,3000071,4007530
5522,8054510,1L6Z,A:1-107,P31809,35-141,8054511,1L6Z,A:1-107,P31809,35-141,1,1000001,2000051,3000071,4007530
5523,8054512,1RHF,A:7-97,Q06418,47-137,8054513,1RHF,A:7-97,Q06418,47-137,1,1000001,2000051,3000071,4007530
5524,8054514,3BP5,A:1-114,Q02242,34-147,8054515,3BP5,A:1-114,Q02242,34-147,1,1000001,2000051,3000071,4007530
5525,8054516,1JMA,A:1-259,P57083,26-284,8054517,1JMA,A:1-259,P57083,26-284,1,1000001,2000051,3000071,4007530
5526,8054518,1SQ2,N:2-113,Q8AXI4,2-113,8054519,1SQ2,N:2-113,Q8AXI4,2-113,1,1000001,2000051,3000071,4007530
5527,8054520,2I27,N:2-112,Q8JGJ1,13-119,8054521,2I27,N:2-112,Q8JGJ1,13-119,1,1000001,2000051,3000071,4007530
5528,8054522,2I26,N:2-112,2I26_N,1-111,8054523,2I26,N:2-112,2I26_N,1-111,1,1000001,2000051,3000071,4007530
5529,8054524,1VER,A:1-111,Q6X1E7,1-111,8054525,1VER,A:1-111,Q6X1E7,1-111,1,1000001,2000051,3000071,4007530
5530,8054526,1VES,A:1-113,Q6X1E6,1-113,8054527,1VES,A:1-113,Q6X1E6,1-113,1,1000001,2000051,3000071,4007530
5531,8054528,1XED,A:2-109,P01833,20-127,8054529,1XED,A:2-109,P01833,20-127,1,1000001,2000051,3000071,4007530
5532,8054530,2GIY,A:218-390,Q703E9,218-390,8054531,2GIY,A:218-390,Q703E9,218-390,1,1000001,2000051,3000071,4007530
5533,8054532,2GIY,B:219-390,P04488,219-390,8054533,2GIY,B:219-390,P04488,219-390,1,1000001,2000051,3000071,4007530
5534,8054534,1YJD,C:1-118,P10747,19-136,8054535,1YJD,C:1-118,P10747,19-136,1,1000001,2000051,3000071,4007530
5535,8054536,2CRY,A:8-116,Q8IZU9,413-521,8054537,2CRY,A:8-116,Q8IZU9,413-521,1,1000001,2000051,3000071,4007530
5536,8054538,2AW2,A:34-137,Q7Z6A9,34-137,8054539,2AW2,A:34-137,Q7Z6A9,34-137,1,1000001,2000051,3000071,4007543
5537,8054540,1LP9,E:118-198,P01849,3-81,8054541,1LP9,E:118-198,P01849,3-81,1,1000001,2000051,3000071,4000202
5538,8054544,1TCR,A:118-213,1TCR_A,1-91,8054545,1TCR,A:118-213,1TCR_A,1-91,1,1000001,2000051,3000071,4000202
5539,8054546,1OGA,D:113-202,P01848,1-90,8054547,1OGA,D:113-202,P01848,1-90,1,1000001,2000051,3000071,4000202
5540,8054548,2Q86,B:112-235,P01851,2-125,8054549,2Q86,B:112-235,P01851,2-125,1,1000001,2000051,3000071,4000202
5541,8054550,1LP9,F:118-245,1LP9_F,1-125,8054551,1LP9,F:118-245,1LP9_F,1-125,1,1000001,2000051,3000071,4000202
5542,8054552,1SBB,A:118-246,P01852,2-126,8054553,1SBB,A:118-246,P01852,2-126,1,1000001,2000051,3000071,4000202
5543,8054554,1OGA,E:119-244,P01850,4-129,8054555,1OGA,E:119-244,P01850,4-129,1,1000001,2000051,3000071,4000202
5544,8054556,1HXM,A:121-206,B7Z8K6,1-86,8054557,1HXM,A:121-206,B7Z8K6,1-86,1,1000001,2000051,3000071,4000202
5545,8054558,1YPZ,F:121-230,P06334,3-112,8054559,1YPZ,F:121-230,P06334,3-112,1,1000001,2000051,3000071,4000202
5546,8054560,1HXM,B:124-230,P03986,2-108,8054561,1HXM,B:124-230,P03986,2-108,1,1000001,2000051,3000071,4000202
5547,8054562,1BMG,A:1-98,P01888,21-118,8054563,1BMG,A:1-98,P01888,21-118,1,1000001,2000051,3000071,4000202
5548,8054564,1KJV,B:1-99,P07151,21-119,8054565,1KJV,B:1-99,P07151,21-119,1,1000001,2000051,3000071,4000202
5549,8054570,1LK2,B:1-99,P01887,21-119,8054571,1LK2,B:1-99,P01887,21-119,1,1000001,2000051,3000071,4000202
5550,8054578,1X7Q,A:182-275,P04439,206-299,8054579,1X7Q,A:182-275,P04439,206-299,1,1000001,2000051,3000071,4000202
5551,8054580,2BVP,A:182-274,P01889,206-298,8054581,2BVP,A:182-274,P01889,206-298,1,1000001,2000051,3000071,4000202
5552,8054582,2FYY,A:182-276,O19626,206-300,8054583,2FYY,A:182-276,O19626,206-300,1,1000001,2000051,3000071,4000202
5553,8054588,2HJK,A:182-274,Q9MYI6,206-298,8054589,2HJK,A:182-274,Q9MYI6,206-298,1,1000001,2000051,3000071,4000202
5554,8054596,1YDP,A:183-276,P17693,207-300,8054597,1YDP,A:183-276,P17693,207-300,1,1000001,2000051,3000071,4000202
5555,8054604,3BZF,A:182-274,P13747,203-295,8054605,3BZF,A:182-274,P13747,203-295,1,1000001,2000051,3000071,4000202
5556,8054606,1QQD,A:182-274,P10321,206-298,8054607,1QQD,A:182-274,P10321,206-298,1,1000001,2000051,3000071,4000202
5557,8054610,1LK2,A:182-274,P01901,203-295,8054611,1LK2,A:182-274,P01901,203-295,1,1000001,2000051,3000071,4000202
5558,8054612,1WBX,A:182-274,P01899,206-298,8054613,1WBX,A:182-274,P01899,206-298,1,1000001,2000051,3000071,4000202
5559,8054614,1VGK,A:182-274,P01902,203-295,8054615,1VGK,A:182-274,P01902,203-295,1,1000001,2000051,3000071,4000202
5560,8054616,1QO3,A:182-275,P01900,206-299,8054617,1QO3,A:182-275,P01900,206-299,1,1000001,2000051,3000071,4000202
5561,8054618,1MHC,A:182-274,Q31093,206-298,8054619,1MHC,A:182-274,Q31093,206-298,1,1000001,2000051,3000071,4000202
5562,8054620,1NEZ,A:182-274,P14432,208-300,8054621,1NEZ,A:182-274,P14432,208-300,1,1000001,2000051,3000071,4000202
5563,8054622,1K8D,A:182-274,P14429,203-295,8054623,1K8D,A:182-274,P14429,203-295,1,1000001,2000051,3000071,4000202
5564,8054624,2FO4,A:182-274,Q3UBW0,203-295,8054625,2FO4,A:182-274,Q3UBW0,203-295,1,1000001,2000051,3000071,4000202
5565,8054626,1ZT1,A:181-276,P04223,202-297,8054627,1ZT1,A:181-276,P04223,202-297,1,1000001,2000051,3000071,4000202
5566,8054628,1LD9,A:182-268,P01897,206-292,8054629,1LD9,A:182-268,P01897,206-292,1,1000001,2000051,3000071,4000202
5567,8054630,1ZS8,A:181-274,Q860W6,202-295,8054631,1ZS8,A:181-274,Q860W6,202-295,1,1000001,2000051,3000071,4000202
5568,8054632,1KJV,A:182-276,Q95565,182-276,8054633,1KJV,A:182-276,Q95565,182-276,1,1000001,2000051,3000071,4000202
5569,8054634,1ED3,A:182-275,P16391,206-299,8054635,1ED3,A:182-275,P16391,206-299,1,1000001,2000051,3000071,4000202
5570,8054636,1DE4,A:182-275,Q30201,204-297,8054637,1DE4,A:182-275,Q30201,204-297,1,1000001,2000051,3000071,4000202
5571,8054638,1T7V,A:184-277,P25311,204-297,8054639,1T7V,A:184-277,P25311,204-297,1,1000001,2000051,3000071,4000202
5572,8054640,1HYR,C:181-274,Q29983,204-297,8054641,1HYR,C:181-274,Q29983,204-297,1,1000001,2000051,3000071,4000202
5573,8054642,1JE6,A:181-274,Q29980,204-297,8054643,1JE6,A:181-274,Q29980,204-297,1,1000001,2000051,3000071,4000202
5574,8054644,1C16,A:181-274,Q31615,193-286,8054645,1C16,A:181-274,Q31615,193-286,1,1000001,2000051,3000071,4000202
5575,8054646,1YPZ,A:181-276,Q9BCZ1,193-288,8054647,1YPZ,A:181-276,Q9BCZ1,193-288,1,1000001,2000051,3000071,4000202
5576,8054648,1R3H,A:1181-1276,Q31206,193-288,8054649,1R3H,A:1181-1276,Q31206,193-288,1,1000001,2000051,3000071,4000202
5577,8054650,3FRU,A:179-269,P13599,201-291,8054651,3FRU,A:179-269,P13599,201-291,1,1000001,2000051,3000071,4000202
5578,8054652,1EXU,A:177-267,P55899,200-290,8054653,1EXU,A:177-267,P55899,200-290,1,1000001,2000051,3000071,4000202
5579,8054656,2AKR,A:186-279,P11609,204-297,8054657,2AKR,A:186-279,P11609,204-297,1,1000001,2000051,3000071,4000202
5580,8054660,2H26,A:184-279,P29016,202-297,8054661,2H26,A:184-279,P29016,202-297,1,1000001,2000051,3000071,4000202
5581,8054662,1ONQ,A:184-277,P06126,201-294,8054663,1ONQ,A:184-277,P06126,201-294,1,1000001,2000051,3000071,4000202
5582,8054664,2PO6,A:184-277,P15813,202-295,8054665,2PO6,A:184-277,P15813,202-295,1,1000001,2000051,3000071,4000202
5583,8054666,1HDM,A:94-196,P28067,120-222,8054667,1HDM,A:94-196,P28067,120-222,1,1000001,2000051,3000071,4000202
5584,8054668,1K8I,A:93-191,P28078,122-220,8054669,1K8I,A:93-191,P28078,122-220,1,1000001,2000051,3000071,4000202
5585,8054670,1KLU,A:82-182,P01903,107-207,8054671,1KLU,A:82-182,P01903,107-207,1,1000001,2000051,3000071,4000202
5586,8054672,1FNG,A:82-182,P04224,107-207,8054673,1FNG,A:82-182,P04224,107-207,1,1000001,2000051,3000071,4000202
5587,8054674,1IEA,A:82-182,P01904,107-207,8054675,1IEA,A:82-182,P01904,107-207,1,1000001,2000051,3000071,4000202
5588,8054676,1UVQ,A:85-181,E9PMV2,108-204,8054677,1UVQ,A:85-181,E9PMV2,108-204,1,1000001,2000051,3000071,4000202
5589,8054678,1S9V,A:85-180,P01909,110-205,8054679,1S9V,A:85-180,P01909,110-205,1,1000001,2000051,3000071,4000202
5590,8054680,1IAK,A:82-181,P01910,108-207,8054681,1IAK,A:82-181,P01910,108-207,1,1000001,2000051,3000071,4000202
5591,8054684,2P24,A:82-181,P14438,79-178,8054685,2P24,A:82-181,P14438,79-178,1,1000001,2000051,3000071,4000202
5592,8054686,1MUJ,A:84-178,P14434,111-205,8054687,1MUJ,A:84-178,P14434,111-205,1,1000001,2000051,3000071,4000202
5593,8054688,1ES0,A:83-178,P04228,110-205,8054689,1ES0,A:83-178,P04228,110-205,1,1000001,2000051,3000071,4000202
5594,8054690,1HDM,B:88-185,P28068,106-203,8054691,1HDM,B:88-185,P28068,106-203,1,1000001,2000051,3000071,4000202
5595,8054692,1K8I,B:95-190,Q31099,114-209,8054693,1K8I,B:95-190,Q31099,114-209,1,1000001,2000051,3000071,4000202
5596,8054696,1FV1,B:93-190,Q30154,122-219,8054697,1FV1,B:93-190,Q30154,122-219,1,1000001,2000051,3000071,4000202
5597,8054702,1BX2,B:93-193,P01911,122-222,8054703,1BX2,B:93-193,P01911,122-222,1,1000001,2000051,3000071,4000202
5598,8054704,1A6A,B:93-191,P01911,122-220,8054705,1A6A,B:93-191,P01911,122-220,1,1000001,2000051,3000071,4000202
5599,8054708,1IEA,B:93-188,Q31163,119-214,8054709,1IEA,B:93-188,Q31163,119-214,1,1000001,2000051,3000071,4000202
5600,8054710,1R5V,B:121-215,P18468,121-215,8054711,1R5V,B:121-215,P18468,121-215,1,1000001,2000051,3000071,4000202
5601,8054712,1KT2,B:121-215,P04230,121-215,8054713,1KT2,B:121-215,P04230,121-215,1,1000001,2000051,3000071,4000202
5602,8054714,1IEB,B:93-188,Q31164,93-188,8054715,1IEB,B:93-188,Q31164,93-188,1,1000001,2000051,3000071,4000202
5603,8054718,1IAK,B:93-190,P06343,120-216,8054719,1IAK,B:93-190,P06343,120-216,1,1000001,2000051,3000071,4000202
5604,8054720,2PXY,D:94-191,P06344,120-217,8054721,2PXY,D:94-191,P06344,120-217,1,1000001,2000051,3000071,4000202
5605,8054722,1MUJ,B:94-188,P14483,122-216,8054723,1MUJ,B:94-188,P14483,122-216,1,1000001,2000051,3000071,4000202
5606,8054726,2IAD,B:94-188,P01921,121-216,8054727,2IAD,B:94-188,P01921,121-216,1,1000001,2000051,3000071,4000202
5607,8054728,1F3J,B:94-191,Q31135,120-217,8054729,1F3J,B:94-191,Q31135,120-217,1,1000001,2000051,3000071,4000202
5608,8054730,1U58,A:145-242,A2Q6L5,165-262,8054731,1U58,A:145-242,A2Q6L5,165-262,1,1000001,2000051,3000071,4000202
5609,8054732,1VCA,A:91-199,P19320,115-223,8054733,1VCA,A:91-199,P19320,115-223,1,1000001,2000051,3000071,4007529
5610,8054734,1IAM,A:83-185,P05362,110-212,8054735,1IAM,A:83-185,P05362,110-212,1,1000001,2000051,3000071,4007529
5611,8054736,1ZXQ,A:87-192,P13598,111-216,8054737,1ZXQ,A:87-192,P13598,111-216,1,1000001,2000051,3000071,4007529
5612,8054738,2NXY,B:1098-1181,P01730,123-206,8054739,2NXY,B:1098-1181,P01730,123-206,1,1000001,2000051,3000071,4007529
5613,8054740,1CID,A:106-177,P05540,315-386,8054741,1CID,A:106-177,P05540,315-386,1,1000001,2000051,3000071,4007529
5614,8054742,1HNF,A:105-182,P06729,129-206,8054743,1HNF,A:105-182,P06729,129-206,1,1000001,2000051,3000071,4007529
5615,8054744,1HNG,A:100-176,P08921,122-198,8054745,1HNG,A:100-176,P08921,122-198,1,1000001,2000051,3000071,4007529
5616,8054748,1DR9,A:106-200,P33681,140-234,8054749,1DR9,A:106-200,P33681,140-234,1,1000001,2000051,3000071,4007529
5617,8054750,2D9Q,B:3-96,Q99062,26-119,8054751,2D9Q,B:3-96,Q99062,26-119,1,1000001,2000051,3000071,4007529
5618,8054752,1VCA,A:1-90,P19320,25-114,8054753,1VCA,A:1-90,P19320,25-114,1,1000001,2000051,3000071,4007543
5619,8054754,1IAM,A:1-82,P05362,28-109,8054755,1IAM,A:1-82,P05362,28-109,1,1000001,2000051,3000071,4007543
5620,8054756,1ZXQ,A:1-86,P13598,25-110,8054757,1ZXQ,A:1-86,P13598,25-110,1,1000001,2000051,3000071,4007543
5621,8054758,1EPF,A:1-97,P13596,20-116,8054759,1EPF,A:1-97,P13596,20-116,1,1000001,2000051,3000071,4007543
5622,8054760,3NCM,A:3-92,P13595,119-208,8054761,3NCM,A:3-92,P13595,119-208,1,1000001,2000051,3000071,4007543
5623,8054762,1IE5,A:2-107,P13590,202-307,8054763,1IE5,A:2-107,P13590,202-307,1,1000001,2000051,3000071,4007543
